Handle,Title,Collection type,Rule or product grouping,Description,SEO title,SEO description,Buying guide title,Buying guide text
gaming-laptops,Gaming Laptops,Manual or automated,"Tag contains gaming laptop","Gaming laptops for high-refresh play, streaming, and portable performance.","Gaming Laptops Philippines | TechCore PH","Shop gaming laptops in the Philippines with RTX graphics, fast displays, and warranty support.","How to choose a gaming laptop","Prioritize GPU, cooling, display refresh rate, RAM, SSD capacity, and warranty support. Match specs to target games and resolution."
business-laptops,Business Laptops,Manual or automated,"Tag contains business laptop","Business laptops for work from home, students, office teams, and professionals.","Business Laptops Philippines | TechCore PH","Shop reliable business laptops for work, school, and office teams from TechCore PH.","How to choose a business laptop","Prioritize battery life, keyboard comfort, RAM, SSD capacity, warranty, ports, and Windows edition."
cpus,CPUs,Manual or automated,"Type equals CPU","Desktop processors for gaming, productivity, and workstation builds.","CPUs Philippines | Intel and AMD | TechCore PH","Shop Intel and AMD processors with socket and compatibility notes from TechCore PH.","How to choose a CPU","Confirm socket, motherboard chipset, cooler compatibility, workload needs, integrated graphics requirements, and upgrade path."
graphics-cards,Graphics Cards,Manual or automated,"Type equals Graphics Card","Graphics cards for gaming, ray tracing, content creation, and workstation acceleration.","Graphics Cards Philippines | TechCore PH","Shop graphics cards in the Philippines with VRAM, PSU, and compatibility guidance.","How to choose a graphics card","Match GPU performance to your monitor resolution, target games, VRAM needs, PSU capacity, and case clearance."
motherboards,Motherboards,Manual or automated,"Type equals Motherboard","Motherboards for compatible Intel and AMD desktop builds.","Motherboards Philippines | TechCore PH","Shop motherboards with socket, chipset, RAM, WiFi, and expansion details from TechCore PH.","How to choose a motherboard","Check CPU socket, chipset, RAM generation, VRM quality, expansion slots, storage slots, WiFi, and case size."
memory-ram,Memory RAM,Manual or automated,"Type equals Memory RAM","Desktop memory kits for gaming, productivity, and workstation upgrades.","DDR5 RAM Philippines | TechCore PH","Shop DDR4 and DDR5 memory for desktop PC upgrades from TechCore PH.","How to choose RAM","Check DDR generation, capacity, speed, kit configuration, motherboard QVL, and workload requirements."
ssds-and-storage,SSDs and Storage,Manual or automated,"Tag contains storage","NVMe SSDs and storage upgrades for faster systems.","SSDs and Storage Philippines | TechCore PH","Shop NVMe SSDs and storage upgrades for laptops and desktops from TechCore PH.","How to choose storage","Confirm form factor, interface, motherboard slot support, capacity, endurance, and warranty."
monitors,Monitors,Manual or automated,"Type equals Monitor","Gaming and productivity monitors for sharper work and smoother play.","Monitors Philippines | TechCore PH","Shop gaming and office monitors with refresh rate, panel, and resolution details from TechCore PH.","How to choose a monitor","Match resolution, refresh rate, panel type, color needs, adaptive sync, ports, and desk space."
keyboards-and-mice,Keyboards and Mice,Manual or automated,"Tag contains keyboard or mouse","Gaming and productivity input gear for better control and comfort.","Keyboards and Mice Philippines | TechCore PH","Shop mechanical keyboards, gaming mice, and desk accessories from TechCore PH.","How to choose peripherals","Choose layout, switch type, connectivity, ergonomics, sensor quality, and warranty based on daily use."
networking,Networking,Manual or automated,"Type equals Networking","WiFi routers and networking gear for home and office setups.","Networking Gear Philippines | TechCore PH","Shop WiFi 6 routers and networking accessories from TechCore PH.","How to choose networking gear","Consider ISP plan speed, home size, device count, WiFi standard, gigabit ports, and mesh needs."
deals,Deals,Automated,"Compare-at price is greater than price","Discounted SSDs, RAM, monitors, peripherals, and selected hardware.","Computer Parts Deals Philippines | TechCore PH","Shop upgrade deals on selected computer parts and accessories from TechCore PH.","How to shop deals","Compare actual savings, warranty coverage, stock status, and compatibility before checking out."
workstations,Workstations,Manual or automated,"Tag contains workstation or creator","Performance equipment for creators, engineers, and professional teams.","Workstations Philippines | TechCore PH","Shop workstation-ready laptops, parts, displays, and accessories from TechCore PH.","How to choose workstation gear","Prioritize CPU cores, GPU acceleration, memory capacity, storage speed, display quality, and software requirements."
